Time_ms,Timestamp_UTC,Event,Asset_ID,Bid,Ask,Trade_Price,Trade_Side
65.592,2025-12-03 16:50:05.361525,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.89,BUY
272.856,2025-12-03 16:50:05.414586,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.88,0.92,N/A,N/A
5.981,2025-12-03 16:50:05.420564,price_change,62821584999194204677030312357514625732120653880941433118379705851963857868115,0.08,0.12,N/A,N/A
21.610,2025-12-03 16:50:05.442186,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.88,0.91,N/A,N/A
14.527,2025-12-03 16:50:05.456700,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.9,0.91,N/A,N/A
9.901,2025-12-03 16:50:05.466603,price_change,62821584999194204677030312357514625732120653880941433118379705851963857868115,0.09,0.1,N/A,N/A
535.345,2025-12-03 16:50:05.896886,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.91,BUY
59.312,2025-12-03 16:50:05.956181,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.09,SELL
525.842,2025-12-03 16:50:05.992461,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.88,0.91,N/A,N/A
26.500,2025-12-03 16:50:06.018946,price_change,62821584999194204677030312357514625732120653880941433118379705851963857868115,0.09,0.12,N/A,N/A
82.485,2025-12-03 16:50:06.038661,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.12,BUY
27.459,2025-12-03 16:50:06.066120,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.88,SELL
49.548,2025-12-03 16:50:06.068492,price_change,62821584999194204677030312357514625732120653880941433118379705851963857868115,0.09,0.1,N/A,N/A
4.013,2025-12-03 16:50:06.070131,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.91,BUY
42.360,2025-12-03 16:50:06.110855,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.9,0.91,N/A,N/A
160.186,2025-12-03 16:50:06.230322,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.91,BUY
4.096,2025-12-03 16:50:06.234416,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,SELL
16.291,2025-12-03 16:50:06.250708,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,SELL
5.006,2025-12-03 16:50:06.255712,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,SELL
213.187,2025-12-03 16:50:06.324040,price_change,62821584999194204677030312357514625732120653880941433118379705851963857868115,0.1,0.12,N/A,N/A
92.014,2025-12-03 16:50:06.347726,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.1,BUY
12.597,2025-12-03 16:50:06.360325,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.1,BUY
39.985,2025-12-03 16:50:06.364031,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.88,0.9,N/A,N/A
0.859,2025-12-03 16:50:06.364883,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.89,0.9,N/A,N/A
57.687,2025-12-03 16:50:06.418016,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,BUY
531.603,2025-12-03 16:50:06.949614,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,BUY
110.373,2025-12-03 16:50:07.059991,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,BUY
1032.995,2025-12-03 16:50:08.092988,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.11,BUY
455.808,2025-12-03 16:50:08.548793,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,BUY
979.429,2025-12-03 16:50:09.528220,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,BUY
719.983,2025-12-03 16:50:10.248206,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.11,BUY
4135.936,2025-12-03 16:50:10.500839,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.88,0.9,N/A,N/A
276.242,2025-12-03 16:50:10.524451,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.11,BUY
57.945,2025-12-03 16:50:10.558782,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.89,0.9,N/A,N/A
148.768,2025-12-03 16:50:10.673212,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.89,SELL
133.128,2025-12-03 16:50:10.691890,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.88,0.9,N/A,N/A
151.082,2025-12-03 16:50:10.842982,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.87,0.9,N/A,N/A
1.516,2025-12-03 16:50:10.844490,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.89,0.9,N/A,N/A
132.112,2025-12-03 16:50:10.976611,price_change,62821584999194204677030312357514625732120653880941433118379705851963857868115,0.09,0.1,N/A,N/A
0.084,2025-12-03 16:50:10.976681,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.9,0.91,N/A,N/A
353.571,2025-12-03 16:50:11.026783,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.1,SELL
15.366,2025-12-03 16:50:11.042154,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.9,SELL
