Timestamp,Side,Thought entry price,Actual entry price,Spread,Velocity,OrderID,Size,Tick_1,Tick_2,Tick_3,Tick_4,Tick_5,Tick_6,Tick_7,Tick_8
1764684946.2432852,UP,0.52,0.53,0.01,2283.3,0x915970d6d5deba25051788bbce4fdd47cb5874ccc513ba41db2033f45077f1c5,2.38,0.53,0.54,0.54,0.54,0.54,0.54,0.55,0.55
1764684930.9456098,UP,0.51,0.51,0.01,2449.3,0x17aae86ce8cefff5462c9e049bee159bb19895944d540fe5958858ec67969ea6,2.29,0.5,0.49,0.5,0.5,0.5,0.51,0.51,0.51
1764684916.4758089,UP,0.47,0.48,0.01,1590.5,0x484f6866c8670580b0e1fcef69640e15549035aaf91d58d97aca2ccc39023358,2.81,0.49,0.49,0.49,0.49,0.49,0.5,0.5,0.5
1764685027.6967466,UP,0.66,0.67,0.01,1531.5,0xb51c6121b05cde172067e5effccdbd435f8ab7d3e6d56c6e385903e2fbb21003,1.61,0.67,0.67,0.67,0.67,0.67,0.67,0.68,0.68
1764685011.8434384,UP,0.63,0.65,0.01,2237.8,0xd1428f15558bda107eb21700356f3e615a4c1921eb4cddaf152fd5610f11b506,1.66,0.65,0.64,0.64,0.65,0.65,0.65,0.65,0.65
1764685006.0524805,DOWN,0.41,0.43,0.01,-1876.9,0x0b5d81294c24ed1bb4b6101c41ea5d964a9903d6991c452355223eac7e502b47,2.51,0.43,0.44,0.44,0.44,0.43,0.41,0.41,0.41
1764685000.1883452,UP,0.58,0.62,0.01,2118.3,0x79564ef3a5c855af51d9e510efdadfeb6fbccb424c0797b4cc56cbad9aca5a6a,1.74,0.59,0.62,0.62,0.65,0.65,0.65,0.66,0.66
1764684994.4401748,UP,0.59,0.59,0.01,1716.1,0xb6a5be2a237764c39bb0ec9167ced7b0ccf4b3cd2552514fa3a246d85643e83f,1.83,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
1764684983.2750924,DOWN,0.36,0.43,0.01,-1642.7,0xd0d422f67790a559e658b03eafad5906573cec569371e62e79fbfbac03df7404,2.51,0.42,0.43,0.43,0.43,0.43,0.43,0.43,0.43
1764684978.027263,UP,0.58,0.6,0.01,1651.1,0xc908004538fca3f56ee9558b643958f94a89668ed80f9acbe8b3ac36fed3b935,1.8,0.6,0.6,0.6,0.61,0.6,0.61,0.62,0.62
1764685094.9096873,UP,0.59,0.6,0.02,1585.0,0x80549dcf721e0a2a0f0cce45bc8cd6248d61593b25265ac412dfe7d021f017b9,1.8,0.58,0.58,0.59,0.59,0.59,0.59,0.59,0.59
1764685088.414478,DOWN,0.33,0.34,0.02,-1960.2,0xd66e069df33c1856e05f2561f5a2921f56e9ea786cd972637c1aef516e661a9f,3.18,0.36,0.36,0.38,0.39,0.38,0.39,0.39,0.39
1764685082.7206929,DOWN,0.26,0.28,0.01,-1573.2,0xc9e755aedc7e881942124b39dbff393b57eb651750a929d4f7c46370ed956eed,3.86,0.3,0.31,0.31,0.31,0.31,0.32,0.31,0.31
1764685072.586243,UP,0.72,0.73,0.01,1545.8,0x7ac43ee021c5f7ac25eddbda69b085c9dd14e190d100ac93f071006619e7c3b1,1.48,0.73,0.73,0.73,0.72,0.72,0.72,0.72,0.72
1764685065.0852222,UP,0.71,0.73,0.01,1698.0,0x8a8ea88ab523dddd4b0326a9bca263891c0ee05ac37607a89f7b269775ab9bf6,1.48,0.73,0.73,0.74,0.74,0.74,0.74,0.74,0.74
1764685052.2957432,DOWN,0.29,0.3,0.01,-1712.0,0x6561990cdcab21fb0ef62dbffd40735f5d135ec15ff0defa66fdde1ca9e311ae,3.6,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29
1764685046.631795,DOWN,0.33,0.34,0.01,-1711.5,0xf6d81dbcf64192cd90ee52a76669fa8e2a0bed7938384884517442bab91e8362,3.18,0.34,0.34,0.34,0.34,0.34,0.32,0.33,0.33
1764685152.622948,UP,0.55,0.56,0.01,1886.8,0x434dfd0b128b62627b9e8f47c9b8bbac0c0b156fd92bd992797fd25f7b691af4,1.93,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
1764685147.4122312,DOWN,0.44,0.46,0.01,-1885.7,0x91aaeb5b9735726d6369cb9a6265dd37d1a81146c9497bd33eeb1f55a7a38340,2.35,0.46,0.48,0.49,0.49,0.49,0.49,0.49,0.48
1764685139.7376325,DOWN,0.5,0.51,0.02,-2346.6,0x15ed615712819ce929722b8fab78965e7d256e541f5f3bb3f1b6f4415382e003,2.47,0.51,0.5,0.5,0.5,0.5,0.49,0.48,0.49
1764685134.4921944,DOWN,0.46,0.47,0.01,-1802.2,0x9e4c0ea985d837e016349b11c00f07682c9d8466eaf0f5719e2bbfc0177a0b13,2.3,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
1764685119.6152554,DOWN,0.43,0.45,0.01,-2126.1,0x597312770e05032c186a63e05e601e64dc0a21fadf78f618b7d34f76a1293ecd,2.4,0.46,0.45,0.45,0.45,0.45,0.44,0.43,0.43
1764685110.2579687,DOWN,0.39,0.43,0.01,-2339.9,0x2b55507e5be692be6daaf0caac8ce9c0ee613fb2de4481c52b1395da26a03531,2.51,0.44,0.44,0.44,0.44,0.44,0.42,0.41,0.41
1764685105.2643812,UP,0.57,0.59,0.01,1576.0,0xf2588a6487cfcccbf2307d411781eef904c0c585c977e0e55a468da6ab998406,1.83,0.59,0.6,0.6,0.61,0.6,0.61,0.61,0.62
1764685100.0344934,DOWN,0.46,0.5,0.02,-1501.5,0xc9309869d5cd417671c41e8f0b4fdbc6fc3ffad91b44d3e2ad78ee2f3073e932,2.16,0.46,0.47,0.47,0.46,0.46,0.46,0.47,0.47
1764685186.9039297,DOWN,0.43,0.45,0.01,-2141.2,0xf2023929c7aef12f47f1fa2851ac8abdd662a1802521a0d810d695ae2f0430be,2.4,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
1764685181.8836925,UP,0.6,0.61,0.02,1529.9,0xa2e35e9d47d4543ace0ba5caeaf99ad042002e69b36710b2e442c91b0bb46cf5,1.77,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
1764685171.2905505,UP,0.56,0.58,0.01,3459.5,0x203c86ecd7333c1c033e4f8117be4782c92675c9913317decc9cdd56ff760091,1.86,0.58,0.58,0.58,0.58,0.6,0.59,0.6,0.6
1764685163.9425013,UP,0.55,0.6,0.01,1637.9,0x5f98732408f522452c5ea7f148f42a9f6cf5d3710f66112eab846046c1442a5c,1.8,0.6,0.6,0.6,0.61,0.61,0.61,0.61,0.61
1764685158.9441698,UP,0.56,0.57,0.01,2119.0,0xf074e8b0ff4422775b1d2d74b0183d32bfc6689bae2ee8ec91f5d994ca1d82e7,1.89,0.56,0.55,0.55,0.55,0.55,0.55,0.55,0.55
1764685258.521313,DOWN,0.56,0.61,0.01,-1732.7,0xb213ae8ace88bf41c6eaa04e9db9cf6386dbee73089f69cae01fbb3f255fa695,2.07,0.63,0.63,0.63,0.61,0.61,0.6,0.6,0.6
1764685251.6918578,DOWN,0.53,0.53,0.01,-2018.4,0x5b94bed3e9faa07ea02b37b53c8ca9d3a29296b593e1ffbdd7fbdccb9135ad29,2.55,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
1764685246.5402772,UP,0.49,0.5,0.01,2012.7,0xc1e0bc58580908d922a9c1e86ce81c757ffa48e92d6a10d0c0c8e406d5cd3a99,2.7,0.5,0.5,0.5,0.51,0.52,0.5,0.5,0.5
1764685234.6893575,DOWN,0.49,0.52,0.01,-1586.3,0x66e8fc03679e7397241133f0c14ef087c2c4c0af218f238132ad7758daae0ba7,2.42,0.54,0.52,0.53,0.54,0.52,0.52,0.51,0.54
1764685229.1787624,DOWN,0.42,0.45,0.02,-1624.0,0xbea6dc8e751bcd4fa56cbaa3b732d31e962ab0b209b1b6f917deda83567d15ab,2.4,0.47,0.47,0.47,0.47,0.47,0.5,0.51,0.52
1764685222.9001827,UP,0.58,0.58,0.02,1678.3,0x501057d1919f505ec1af5a06a95df01c8b0c6c07fbd8a54134ccf47756d3d7b9,1.86,0.58,0.58,0.58,0.61,0.6,0.61,0.61,0.61
